participant_id,trial_idx,run_idx,trial_in_run,regime,outcome_time_s,state,choice,reward_mag,shock_mag,delta_hr,mu2,sigma2,mu3,sigma3,delta1,epsilon2,epsilon3,psi2
P108,0,0,0,stable,7.0,0,1,3.0,1.0,1.0701623938284461,-0.44241729380786804,0.8848345876157361,,,-2.0,0.0,,0.11984526374066452
P108,1,0,1,stable,18.0,0,0,1.0,1.0,-1.4974376128107145,-0.7636794954540423,0.8212956090880773,,,-1.6424814759671844,0.0,,0.13336343244339294
P108,2,0,2,stable,29.0,0,1,1.0,1.0,-2.1726720880615904,-1.0156895036957556,0.7928634271521959,,,-1.4659488124330848,0.0,,0.14221370398968014
P108,3,0,3,stable,40.0,0,0,1.0,1.0,-1.174388074543005,-1.2247746979440373,0.7864251670286343,,,-1.3621526381438127,0.0,,0.14656604753665298
P108,4,0,4,stable,51.0,0,1,3.0,3.0,0.7327191182640588,-1.4050921601824373,0.7940097696097037,,,-1.2938238919936502,0.0,,0.14758885434947697
P108,5,0,5,stable,62.0,0,1,1.0,1.0,1.4209752429067009,-1.5648383188009456,0.8108559035108639,,,-1.24534444442222,0.0,,0.1463854200943191
P108,6,0,6,stable,73.0,0,1,1.0,1.0,-1.4575387063376066,-1.7090882571004873,0.8340389677755102,,,-1.209121821506973,0.0,,0.14378143178210498
P108,7,0,7,stable,84.0,0,1,3.0,1.0,-0.8977167718418886,-1.841171108418098,0.8616983230339305,,,-1.1810307709167736,0.0,,0.14034576442722102
P108,8,0,8,stable,95.0,0,1,3.0,3.0,-0.39407433662419733,-1.9633808824819132,0.8926099864082121,,,-1.158631542548411,0.0,,0.13645557454473026
P108,9,0,9,stable,106.0,0,1,1.0,3.0,-1.9844912456317856,-2.0773661317961585,0.9259443177203291,,,-1.140382999278528,0.0,,0.13235548120307275
P108,10,0,10,stable,117.0,0,1,3.0,3.0,-1.8670304571617589,-2.1843548405536253,0.9611238574949246,,,-1.1252596956296819,0.0,,0.1282014961703219
P108,11,0,11,stable,128.0,0,1,3.0,1.0,-0.4264977631206508,-2.2852901673325228,0.9977370769907349,,,-1.1125503231400418,0.0,,0.12409129829453518
P108,12,0,12,stable,139.0,0,1,3.0,3.0,-0.7549246206827722,-2.380915675497127,1.0354844231936755,,,-1.1017445348822874,0.0,,0.12008443860745818
P108,13,0,13,stable,150.0,0,1,1.0,3.0,-3.6250126345667955,-2.471830758645163,1.0741436316448185,,,-1.0924658700024854,0.0,,0.11621564201217312
P108,14,0,14,stable,161.0,0,0,1.0,3.0,-1.6314342485284348,-2.5585278373094407,1.1135468777277486,,,-1.0844301462038062,0.0,,0.11250352358641431
P108,15,0,15,stable,172.0,0,1,1.0,1.0,-5.6958625810558825,-2.6414180430317677,1.1535653953393643,,,-1.0774186294089578,0.0,,0.10895629949566825
